date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-10-01,ARKW,PAYPAL HOLDINGS INC,PYPL,189461.0,49.3,260.21,0.0099,-528.0,-0.14,0.09,1.21,0.0047,0.0,Sell
2021-10-01,ARKW,PELOTON INTERACTIVE INC-A,PTON,1722817.0,149.97,87.05,0.0301,-4800.0,-0.42,2.43,1.65,0.0193,0.0101,Sell
2021-10-01,ARKW,ROBINHOOD MARKETS INC - A,HOOD,1729489.0,72.78,42.08,0.0146,-4820.0,-0.2,-2.02,-1.05,-0.0243,-0.0331,Sell
2021-10-01,ARKW,ROBLOX CORP -CLASS A,RBLX,1296213.0,97.93,75.55,0.0196,-3612.0,-0.27,-1.26,-0.76,-0.01,-0.02,Sell
2021-10-01,ARKW,ROKU INC,ROKU,697927.0,218.7,313.35,0.0438,-1944.0,-0.61,6.69,10.43,0.0344,0.0234,Sell
2021-10-01,ARKW,SEA LTD-ADR,SE,221244.0,70.52,318.73,0.0141,-616.0,-0.2,1.35,6.95,0.0223,0.0071,Sell
2021-10-01,ARKW,SHOPIFY INC - CLASS A,SHOP,147487.0,199.96,1355.78,0.0401,-410.0,-0.56,0.81,9.23,0.0069,-0.0025,Sell
2021-10-01,ARKW,SKILLZ INC,SKLZ,6048073.0,59.39,9.82,0.0119,-16850.0,-0.17,-1.08,-0.15,-0.015,-0.0246,Sell
2021-10-01,ARKW,SNAP INC - A,SNAP,481557.0,35.57,73.87,0.0071,-31525.0,-2.33,-1.25,2.11,0.0294,-0.0405,Sell
2021-10-01,ARKW,SPLUNK INC,SPLK,563772.0,81.58,144.71,0.0164,-1572.0,-0.23,3.81,7.14,0.0519,0.0446,Sell
2021-10-01,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,832261.0,187.54,225.34,0.0376,-2318.0,-0.52,3.67,5.02,0.0228,0.0108,Sell
2021-10-01,ARKW,SQUARE INC - A,SQ,824848.0,197.83,239.84,0.0397,-2298.0,-0.55,2.59,3.8,0.0161,0.0076,Sell
2021-10-01,ARKW,TELADOC HEALTH INC,TDOC,1924879.0,244.09,126.81,0.0489,-5362.0,-0.68,1.04,0.89,0.0071,-0.0041,Sell
2021-10-01,ARKW,TESLA INC,TSLA,666233.0,516.65,775.48,0.1036,-1856.0,-1.44,-5.33,-5.83,-0.0075,-0.018,Sell
2021-10-01,ARKW,TWILIO INC - A,TWLO,550355.0,175.59,319.05,0.0352,-1534.0,-0.49,2.96,6.25,0.02,0.0086,Sell
2021-10-01,ARKW,TWITTER INC,TWTR,4475167.0,270.26,60.39,0.0542,-12468.0,-0.75,0.68,0.32,0.0053,-0.0055,Sell
2021-10-01,ARKW,UIPATH INC - CLASS A,PATH,2483882.0,130.68,52.61,0.0262,-6920.0,-0.36,1.16,0.61,0.0117,0.0,Sell
2021-10-01,ARKW,UNITY SOFTWARE INC,U,1700493.0,214.69,126.25,0.043,-4738.0,-0.6,0.12,0.42,0.0033,-0.0092,Sell
2021-10-01,ARKW,VERACYTE INC,VCYT,1141338.0,53.02,46.45,0.0106,3316.0,0.15,1.53,1.21,0.0267,0.0192,Buy
2021-10-01,ARKW,VUZIX CORP,VUZI,5073638.0,53.07,10.46,0.0106,-14136.0,-0.15,0.11,0.05,0.0048,-0.0093,Sell
2021-10-01,ARKW,WALT DISNEY CO/THE,DIS,393879.0,66.63,169.17,0.0134,-1098.0,-0.19,-1.57,-3.51,-0.0203,-0.029,Sell
2021-10-01,ARKW,ZILLOW GROUP INC - C,Z,1349417.0,118.94,88.14,0.0238,-3760.0,-0.33,3.02,2.48,0.029,0.0171,Sell
2021-10-01,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,673642.0,176.16,261.5,0.0353,-1878.0,-0.49,2.27,4.09,0.0159,0.0057,Sell
