date,fund,company,ticker,shares,market value($),weight(%)
2021-09-27,ARKW,SPLUNK INC,SPLK,581833.0,87926602.96,1.61
2021-09-27,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,858918.0,197722923.6,3.62
2021-09-27,ARKW,SQUARE INC - A,SQ,808750.0,212296875.0,3.89
2021-09-27,ARKW,TELADOC HEALTH INC,TDOC,1986542.0,267984515.8,4.91
2021-09-27,ARKW,TESLA INC,TSLA,745338.0,577182293.82,10.58
2021-09-27,ARKW,TWILIO INC - A,TWLO,599771.0,205847404.91,3.77
2021-09-27,ARKW,TWITTER INC,TWTR,4618532.0,310457721.04,5.69
2021-09-27,ARKW,UIPATH INC - CLASS A,PATH,2563462.0,135094447.4,2.48
2021-09-27,ARKW,UNITY SOFTWARE INC,U,1754980.0,250119749.6,4.59
2021-09-27,ARKW,VERACYTE INC,VCYT,1158434.0,56624253.92,1.04
2021-09-27,ARKW,VUZIX CORP,VUZI,5236185.0,59116528.65,1.08
2021-09-27,ARKW,WALT DISNEY CO/THE,DIS,406506.0,71545056.0,1.31
2021-09-27,ARKW,ZILLOW GROUP INC - C,Z,1304806.0,117967510.46,2.16
2021-09-27,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,664994.0,181117765.84,3.32
2021-09-27,ARKG,10X GENOMICS INC-CLASS A,TXG,635050.0,97899308.0,1.29
2021-09-27,ARKG,1LIFE HEALTHCARE INC,ONEM,3613877.0,77517661.65,1.02
2021-09-27,ARKG,908 DEVICES INC,MASS,2680342.0,97510841.96,1.28
2021-09-27,ARKG,ACCOLADE INC,ACCD,5268242.0,226850500.52,2.98
2021-09-27,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,4888391.0,178377387.59,2.35
2021-09-27,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,6274782.0,25789354.02,0.34
2021-09-27,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,2544563.0,129034789.73,1.7
2021-09-27,ARKG,BEAM THERAPEUTICS INC,BEAM,1849698.0,175110909.66,2.3
2021-09-27,ARKG,BERKELEY LIGHTS INC,BLI,3904528.0,83634989.76,1.1
2021-09-27,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,612.0,36860.76,0.0
2021-09-27,ARKG,BUTTERFLY NETWORK INC,BFLY,7241695.0,82844990.8,1.09
2021-09-27,ARKG,CAREDX INC,CDNA,3433475.0,220978451.0,2.91
2021-09-27,ARKG,CARIBOU BIOSCIENCES INC,CRBU,426842.0,10346650.08,0.14
2021-09-27,ARKG,CASTLE BIOSCIENCES INC,CSTL,2130211.0,154312484.84,2.03
2021-09-27,ARKG,CELLECTIS - ADR,CLLS,3884479.0,52090863.39,0.69
2021-09-27,ARKG,CERUS CORP,CERS,5243005.0,34498972.9,0.45
2021-09-27,ARKG,CM LIFE SCIENCES II -CW27,SLGCW,548744.0,0.0,0.0
2021-09-27,ARKG,CODEXIS INC,CDXS,5921779.0,151419889.03,1.99
2021-09-27,ARKG,COMPUGEN LTD,CGEN,3678563.0,22880661.86,0.3
2021-09-27,ARKG,CRISPR THERAPEUTICS AG,CRSP,1804041.0,210044493.63,2.76
2021-09-27,ARKG,DREYFUS GOVT CASH MAN INS,,5714009.44,5714009.44,0.08
2021-09-27,ARKG,DYNAMICS SPECIAL PURPOSE C-A,DYNS,2301832.0,22742100.16,0.3
2021-09-27,ARKG,EDITAS MEDICINE INC,EDIT,1276014.0,74914781.94,0.99
2021-09-27,ARKG,EVOGENE LTD,EVGN,2963362.0,8356680.84,0.11
2021-09-27,ARKG,EXACT SCIENCES CORP,EXAS,3971013.0,381296668.26,5.01
2021-09-27,ARKG,FATE THERAPEUTICS INC,FATE,4825395.0,312926865.75,4.12
2021-09-27,ARKG,GINKGO BIOWORKS HOLDINGS INC,DNA,9355762.0,117882601.2,1.55
2021-09-27,ARKG,INCYTE CORP,INCY,2893385.0,199643565.0,2.63
2021-09-27,ARKG,INTELLIA THERAPEUTICS INC,NTLA,1508421.0,224965907.94,2.96
2021-09-27,ARKG,INVITAE CORP,NVTA,6059066.0,182135523.96,2.4
2021-09-27,ARKG,IONIS PHARMACEUTICALS INC,IONS,8572965.0,310341333.0,4.08
2021-09-27,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,5941379.0,148296819.84,1.95
2021-09-27,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,872609.0,43394845.57,0.57
2021-09-27,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,445620.0,36955266.6,0.49
2021-09-27,ARKG,ORGANOVO HOLDINGS INC,ONVO ,246104.0,1730111.12,0.02
2021-09-27,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,13696148.0,350347465.84,4.61
2021-09-27,ARKG,PALANTIR TECHNOLOGIES INC-A,PLTR,1640902.0,46864161.12,0.62
2021-09-27,ARKG,PERSONALIS INC,PSNL,5175029.0,101637569.56,1.34
2021-09-27,ARKG,PFIZER INC,PFE,2232656.0,98102904.64,1.29
2021-09-27,ARKG,QUANTUM-SI INC,QSI,9756089.0,85951144.09,1.13
2021-09-27,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,2612259.0,64052590.68,0.84
2021-09-27,ARKG,REGENERON PHARMACEUTICALS,REGN,430742.0,275201063.8,3.62
2021-09-27,ARKG,REPARE THERAPEUTICS INC,RPTX,2986708.0,82522742.04,1.09
2021-09-27,ARKG,SCHRODINGER INC,SDGR,2541038.0,147253152.1,1.94
2021-09-27,ARKG,SEMA4 HOLDINGS CORP,SMFR,9676742.0,78962214.72,1.04
2021-09-27,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,8107683.0,160937507.55,2.12
2021-09-27,ARKG,SOMALOGIC INC,SLGC,4866047.0,62139420.19,0.82
2021-09-27,ARKG,SURFACE ONCOLOGY INC,SURF,4284470.0,31705078.0,0.42
2021-09-27,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,13592076.0,229570163.64,3.02
2021-09-27,ARKG,TELADOC HEALTH INC,TDOC,3937797.0,531208815.3,6.99
2021-09-27,ARKG,TWIST BIOSCIENCE CORP,TWST,2237350.0,250829308.5,3.3
2021-09-27,ARKG,UIPATH INC - CLASS A,PATH,2955628.0,155761595.6,2.05
2021-09-27,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,741198.0,222307516.14,2.92
2021-09-27,ARKG,VERACYTE INC,VCYT,1988462.0,97196022.56,1.28
2021-09-27,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,1722281.0,316228014.41,4.16
2021-09-27,ARKG,VERVE THERAPEUTICS INC,VERV,1276133.0,61165054.69,0.8
2021-09-27,ARKG,ZYMERGEN INC,ZY,3807510.0,51020634.0,0.67
2021-09-27,ARKF,ADYEN NV,ADYEN,41456.0,129735179.85,3.76
2021-09-27,ARKF,AMAZON.COM INC,AMZN,8706.0,29822577.12,0.86
2021-09-27,ARKF,BILL.COM HOLDINGS INC,BILL,199327.0,54442183.51,1.58
2021-09-27,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,777020.0,180128776.4,5.21
2021-09-27,ARKF,DISCOVERY LTD,DSY,6754782.0,58376303.28,1.69
2021-09-27,ARKF,DOCUSIGN INC,DOCU,297603.0,81058129.11,2.35
2021-09-27,ARKF,DRAFTKINGS INC - CL A,DKNG,1294831.0,66463675.23,1.92
